"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_393",2,0.257142857142857,0,2,0,-0.745443873651175,"2",0,"Peripherals","","ultra peripheral"
"MAG_394",3,0.8,3,3,0,1,"19",0,"Peripherals","","ultra peripheral"
"MAG_395",5,0.362637362637363,0,5,0,-0.386734127931675,"1",0,"Peripherals","","ultra peripheral"
"MAG_396",1,1,0,1,0,0,"55",0,"Peripherals","","ultra peripheral"
"MAG_398",2,0.428571428571429,20,2,0,-0.575025582219312,"3",0,"Peripherals","","ultra peripheral"
"MAG_400",6,0.486486486486487,78.8333333333333,6,0,1.61512839291088,"2",0,"Peripherals","","ultra peripheral"
"MAG_401",2,0.290322580645161,0,2,0,-0.745443873651175,"2",0,"Peripherals","","ultra peripheral"
"MAG_402",1,1,0,1,0,0,"13",0,"Peripherals","","ultra peripheral"
"MAG_406",7,0.486486486486487,63.5,7,0,2.20527145955139,"2",0,"Peripherals","","ultra peripheral"
"MAG_410",7,0.351063829787234,0.553846153846154,7,0,0.100887163808263,"1",0,"Peripherals","","ultra peripheral"
"MAG_412",2,0.545454545454545,1.5,2,0,0,"18",0,"Peripherals","","ultra peripheral"
"MAG_414",3,1,2,3,0,1.22474487139159,"27",0,"Peripherals","","ultra peripheral"
"MAG_416",2,0.571428571428571,3,2,0,0.730296743340221,"7",0,"Peripherals","","ultra peripheral"
"MAG_418",1,0.428571428571429,0,1,0,-0.866025403784439,"18",0,"Peripherals","","ultra peripheral"
"MAG_419",2,1,0,2,0,0,"37",0,"Peripherals","","ultra peripheral"
"MAG_421",4,0.75,10,4,0,1.73205080756888,"18",0,"Peripherals","","ultra peripheral"
"MAG_427",6,0.391304347826087,35.8333333333333,6,0,1.61512839291088,"2",0,"Peripherals","","ultra peripheral"
"MAG_429",1,1,0,1,0,0,"64",0,"Peripherals","","ultra peripheral"
"MAG_431",2,0.324324324324324,11,2,0,-0.575025582219312,"3",0,"Peripherals","","ultra peripheral"
"MAG_435",8,0.34020618556701,5.27777777777778,8,0,0.344697809678232,"1",0,"Peripherals","","ultra peripheral"
"MAG_438",7,0.392857142857143,13.6485547785548,7,0,0.100887163808263,"1",0,"Peripherals","","ultra peripheral"
"MAG_444",1,1,0,1,0,0,"21",0,"Peripherals","","ultra peripheral"
"MAG_448",1,0.666666666666667,0,1,0,-0.577350269189626,"12",0.444444444444444,"Peripherals","","peripheral"
"MAG_449",9,0.392857142857143,2.54662337662338,9,0,0.588508455548201,"1",0,"Peripherals","","ultra peripheral"
"MAG_453",1,0.5,0,1,0,-1,"19",0,"Peripherals","","ultra peripheral"
"MAG_455",3,0.260869565217391,17,3,0,-0.155300807010661,"2",0,"Peripherals","","ultra peripheral"
"MAG_459",3,1,0,3,0,0,"40",0,"Peripherals","","ultra peripheral"
"MAG_464",1,0.264705882352941,0,1,0,-1.33558694029169,"2",0,"Peripherals","","ultra peripheral"
"MAG_465",1,0.6,0,1,0,-1.22474487139159,"27",0,"Peripherals","","ultra peripheral"
"MAG_467",1,1,0,1,0,0,"13",0,"Peripherals","","ultra peripheral"
"MAG_472",3,0.391304347826087,8,3,0,-0.155300807010661,"2",0,"Peripherals","","ultra peripheral"
"MAG_474",2,0.387096774193548,0,2,0,-0.575025582219312,"3",0,"Peripherals","","ultra peripheral"
"MAG_475",1,1,0,1,0,0,"53",0,"Peripherals","","ultra peripheral"
"MAG_476",1,1,0,1,0,0,"44",0,"Peripherals","","ultra peripheral"
"MAG_478",1,0.33,0,1,0,-1.36197671141155,"1",0,"Peripherals","","ultra peripheral"
"MAG_480",2,1,0,2,0,0,"60",0,"Peripherals","","ultra peripheral"
"MAG_490",1,1,0,1,0,0,"45",0,"Peripherals","","ultra peripheral"
"MAG_493",2,1,1,2,0,1.15470053837925,"12",0,"Peripherals","","ultra peripheral"
"MAG_494",1,0.4,0,1,0,-1.09544511501033,"7",0,"Peripherals","","ultra peripheral"
"MAG_500",1,0.372881355932203,0,1,0.0208032425014526,-2.4829946432656,"6",0,"Peripherals","","ultra peripheral"
"MAG_502",2,0.666666666666667,0,2,0,0,"19",0,"Peripherals","","ultra peripheral"
"MAG_507",2,0.191860465116279,0,2,0,-0.239045721866879,"5",0,"Peripherals","","ultra peripheral"
"MAG_509",3,0.234042553191489,62,3,0,0.956182887467515,"5",0,"Peripherals","","ultra peripheral"
"MAG_511",1,1,0,1,0,0,"17",0,"Peripherals","","ultra peripheral"
"MAG_512",2,1,0,2,0,0,"37",0,"Peripherals","","ultra peripheral"
"MAG_513",13,0.428571428571429,27.8802208902209,13,0,1.56375103902808,"1",0,"Peripherals","","ultra peripheral"
"MAG_516",5,0.434210526315789,51.8057142857143,5,0,-0.386734127931675,"1",0,"Peripherals","","ultra peripheral"
"MAG_517",2,0.305555555555556,0,2,0,-1.11816606554158,"1",0,"Peripherals","","ultra peripheral"
"MAG_519",1,1,0,1,0,0,"32",0,"Peripherals","","ultra peripheral"
"MAG_520",1,0.214285714285714,0,1,0,-1.36197671141155,"1",0,"Peripherals","","ultra peripheral"
"MAG_521",1,0.292682926829268,0,1,0,-1.1979699629569,"3",0,"Peripherals","","ultra peripheral"
"MAG_522",3,1,0,3,0,0,"47",0,"Peripherals","","ultra peripheral"
"MAG_523",4,0.833333333333333,0,4,0,0.243975018237133,"34",0,"Peripherals","","ultra peripheral"
"MAG_524",2,0.75,0,2,0,0,"27",0,"Peripherals","","ultra peripheral"
"MAG_528",4,0.439024390243902,9.33333333333333,4,0,0.434842259629852,"2",0,"Peripherals","","ultra peripheral"
"MAG_529",1,1,0,1,0,0,"33",0,"Peripherals","","ultra peripheral"
