"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map00430","map00430","Taurine and hypotaurine metabolism",29,24,17,5,12,-5.46420921919323,-8.56048261023784,2.99420157164212,1.03408982894445,0.159,0.244945945945946
"map00997","map00997","Biosynthesis of various other secondary metabolites",42,28,22,3,19,-12.2094544579268,-8.89587538057344,3.2211487360277,-1.02869483805323,0.158,0.244945945945946
"map00660","map00660","C5-Branched dibasic acid metabolism",29,26,19,3,16,-11.9752373362631,-8.81638806810493,3.20442384561198,-0.985777606318764,0.159,0.244945945945946
"map00998","map00998","Biosynthesis of various antibiotics",74,48,37,6,31,-14.8917824856488,-11.8727933674608,3.16061364568192,-0.955190813123459,0.178,0.267881188118812
"map00999","map00999","Biosynthesis of various plant secondary metabolites",74,20,9,2,7,-4.72546536328541,-7.60268606660868,3.1208830262228,0.921925198460758,0.185,0.274485436893204
"map00330","map00330","Arginine and proline metabolism",115,89,62,12,50,-18.9913630785506,-16.1446528217938,3.10000387338351,-0.918292483825127,0.194,0.279949367088608
"map00311","map00311","Penicillin and cephalosporin biosynthesis",16,13,8,0,8,-8.99659643425687,-6.08615151502411,3.20837546401485,-0.907139750903945,0.198,0.284820189274448
"map00511","map00511","Other glycan degradation",22,18,13,2,11,-10.0021533141917,-7.12397157259889,3.17414828028223,-0.906757179389522,0.193,0.279949367088608
"map00460","map00460","Cyanoamino acid metabolism",36,19,12,1,11,-10.3817833480346,-7.55836035049086,3.14951184095423,-0.896463687111682,0.181,0.2715
"map00785","map00785","Lipoic acid metabolism",31,24,13,3,10,-5.57814589488843,-8.40440274098882,3.28028972670676,0.861587567430456,0.194,0.279949367088608
"map00071","map00071","Fatty acid degradation",59,46,30,8,22,-8.93182827865452,-11.5251157622809,3.15319129703061,0.822432652934361,0.212,0.301158878504673
"map00603","map00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,9,7,1,6,-7.62041216423119,-4.9747326882293,3.26943771759676,-0.809215438410805,0.21,0.29925
"map00480","map00480","Glutathione metabolism",57,38,27,6,21,-12.8858365195682,-10.4066752813011,3.18084390620691,-0.7794036146915,0.229,0.320319018404908
"map00626","map00626","Naphthalene degradation",29,17,10,1,9,-9.48724122848859,-7.05469150614669,3.12315852414136,-0.778874880522013,0.216,0.304941176470588
"map00053","map00053","Ascorbate and aldarate metabolism",62,53,41,9,32,-14.6434262867434,-12.3760160046973,3.08367461813259,-0.735294920129805,0.245,0.334491017964072
"map00860","map00860","Porphyrin metabolism",142,118,89,20,69,-20.8391405144948,-18.5132416823722,3.1690826587451,-0.73393441654298,0.232,0.320581818181818
"map04122","map04122","Sulfur relay system",29,27,17,4,13,-6.42405436461863,-8.77678882040703,3.2080873329015,0.733376062322004,0.225,0.315692307692308
"map00601","map00601","Glycosphingolipid biosynthesis - lacto and neolacto series",28,10,9,2,7,-7.60122068970274,-5.26917586294483,3.17987937779364,-0.733375247829682,0.239,0.328265060240964
"map03430","map03430","Mismatch repair",44,35,25,5,20,-12.3532470473142,-10.1165216875562,3.1383241718192,-0.712713294516495,0.246,0.334853731343284
"map00630","map00630","Glyoxylate and dicarboxylate metabolism",110,93,68,20,48,-14.2548916750067,-16.4719947474166,3.12324305502935,0.709872089154175,0.232,0.320581818181818
"map00121","map00121","Secondary bile acid biosynthesis",15,10,6,1,5,-7.63834144757075,-5.42322523492341,3.12323551081146,-0.70923764953986,0.249,0.337928571428571
"map04011","map04011","MAPK signaling pathway - yeast",91,16,6,0,6,-4.69325430565143,-6.82318915784993,3.08809984444425,0.689723441432901,0.243,0.332756756756757
"map00400","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis",74,63,49,12,37,-15.8955262712036,-13.7980274998784,3.18910948836534,-0.65770672941062,0.261,0.351079646017699
"map00642","map00642","Ethylbenzene degradation",16,13,8,2,6,-4.0912695211673,-6.15737398447998,3.15434385381624,0.655002928996798,0.256,0.34639762611276
"map00405","map00405","Phenazine biosynthesis",16,16,10,1,9,-8.76595127959713,-6.72764749650316,3.15868310331848,-0.645301765458065,0.279,0.362461538461539
"map04139","map04139","Mitophagy - yeast",34,8,5,1,4,-2.89111002765409,-4.91621908977999,3.16668535740373,0.639504350311025,0.261,0.351079646017699
"map00333","map00333","Prodigiosin biosynthesis",21,19,13,4,9,-5.58242912043286,-7.58203490923864,3.14169175096019,0.636474214312925,0.268,0.354226086956522
"map00622","map00622","Xylene degradation",34,32,24,6,18,-11.4094366179054,-9.51520958209283,3.12762813832254,-0.605643302860347,0.292,0.372974789915966
"map00760","map00760","Nicotinate and nicotinamide metabolism",97,78,52,12,40,-16.9441613694512,-15.0908338555141,3.08820109193684,-0.600131746205284,0.268,0.354226086956522
"map01040","map01040","Biosynthesis of unsaturated fatty acids",32,20,13,1,12,-9.70859977858962,-7.83133332825917,3.16023561779302,-0.594027369276174,0.279,0.362461538461539
"map00561","map00561","Glycerolipid metabolism",94,64,44,11,33,-11.7052786713947,-13.5684382470996,3.26610610900622,0.570452861457026,0.285,0.366084507042253
"map00592","map00592","alpha-Linolenic acid metabolism",26,21,13,3,10,-5.86307895546726,-7.70454401077514,3.23055646060641,0.570014818735663,0.264,0.352
"map03410","map03410","Base excision repair",53,33,26,8,18,-8.00008629540087,-9.79716287598342,3.17843905873188,0.565395952974329,0.278,0.362461538461539
"map00361","map00361","Chlorocyclohexane and chlorobenzene degradation",41,34,20,4,16,-8.3163414926469,-10.033997722664,3.12685722598324,0.549323523870507,0.28,0.362727272727273
"map00360","map00360","Phenylalanine metabolism",74,58,40,8,32,-14.8376533543383,-13.1579510155434,3.07512776118857,-0.546221968399023,0.293,0.373206703910615
"map00903","map00903","Limonene degradation",9,6,5,1,4,-5.97878879971013,-4.2838591764204,3.1694017424688,-0.534779040655627,0.323,0.39700269541779
"map00970","map00970","Aminoacyl-tRNA biosynthesis",66,37,31,7,24,-11.9542897688176,-10.2268285440751,3.32580688500336,-0.519411163808681,0.309,0.387098901098901
"map00061","map00061","Fatty acid biosynthesis",39,37,24,4,20,-11.9716082158611,-10.4031758615827,3.12400610470157,-0.502058031166431,0.308,0.386909090909091
"map00331","map00331","Clavulanic acid biosynthesis",5,5,2,0,2,-5.49073656493291,-3.94635837584399,3.11719400273398,-0.495438586027819,0.331,0.402496
"map00240","map00240","Pyrimidine metabolism",114,95,60,11,49,-18.1560697480499,-16.6853070067297,3.03654672571795,-0.484353732766129,0.318,0.395117166212534
"map00540","map00540","Lipopolysaccharide biosynthesis",62,57,38,9,29,-11.3930759431047,-12.9036078993013,3.20776202728206,0.470899007890685,0.307,0.386718232044199
"map00030","map00030","Pentose phosphate pathway",89,75,51,11,40,-16.0378650796904,-14.6383907166739,3.07466469512437,-0.455163246007186,0.338,0.407746031746032
"map00621","map00621","Dioxin degradation",31,26,18,3,15,-10.2398105012764,-8.79527184363193,3.18740634242588,-0.453201914803572,0.314,0.392284931506849
"map00250","map00250","Alanine, aspartate and glutamate metabolism",70,63,41,8,33,-12.2359919273396,-13.5848692607306,3.15517464326295,0.427512732542779,0.339,0.407873350923483
"map04111","map04111","Cell cycle - yeast",126,25,10,2,8,-7.16818678817001,-8.47086384037138,3.26123675020411,0.399442650742803,0.345,0.411832460732984
"map00930","map00930","Caprolactam degradation",22,21,15,3,12,-9.04378954627639,-7.76407798370545,3.23945832015839,-0.395038749104316,0.355,0.418294573643411
"map04112","map04112","Cell cycle - Caulobacter",31,31,23,4,19,-10.7541525921982,-9.51588194573661,3.14061989278235,-0.394275871877183,0.363,0.421279187817259
"map00232","map00232","Caffeine metabolism",16,10,7,1,6,-6.57725038366712,-5.34644010209098,3.14225742275725,-0.391696196709478,0.363,0.421279187817259
"map00563","map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",35,10,5,0,5,-6.73816748763034,-5.51167521671672,3.16538561742717,-0.387470096585109,0.371,0.424
"map00562","map00562","Inositol phosphate metabolism",77,35,24,4,20,-11.2355799020126,-10.0430418117479,3.10911904644587,-0.383561411592754,0.367,0.421541561712846
