Id,Label,att1,att2,att3,att4
241,MAG_519,MAG_519,Bacteroidota,0.001777,M47
242,MAG_520,MAG_520,Planctomycetota,0.035701,M1
243,MAG_521,MAG_521,Thermoproteota,0.519118,M4
244,MAG_522,MAG_522,Proteobacteria,0.578324,M17
245,MAG_523,MAG_523,Desulfobacterota_B,0.567833,M8
246,MAG_524,MAG_524,Bacteroidota,0.661042,M14
247,MAG_528,MAG_528,Actinobacteriota,0.014778,M3
248,MAG_529,MAG_529,Planctomycetota,0.046343,M48
249,MAG_530,MAG_530,Bacteroidota,0.001052,M14
250,MAG_532,MAG_532,Verrucomicrobiota,0.015165,M63
251,MAG_533,MAG_533,Bacteroidota,0.001019,M53
252,MAG_534,MAG_534,Bacteroidota,0.004409,M1
253,MAG_537,MAG_537,Planctomycetota,0.039775,M1
254,MAG_542,MAG_542,Planctomycetota,0.227899,M13
255,MAG_545,MAG_545,Planctomycetota,0.018183,M1
256,MAG_547,MAG_547,Acidobacteriota,0.035565,M34
257,MAG_551,MAG_551,Gemmatimonadota,0.107433,M12
258,MAG_552,MAG_552,Actinobacteriota,0.081101,M37
259,MAG_553,MAG_553,Actinobacteriota,0.071985,M54
260,MAG_556,MAG_556,Desulfobacterota_B,0.015723,M8
261,MAG_563,MAG_563,Myxococcota,0.234221,M1
262,MAG_564,MAG_564,Bacteroidota,0.032034,M53
263,MAG_566,MAG_566,Desulfobacterota_B,0.041509,M1
264,MAG_568,MAG_568,Gemmatimonadota,0.037387,M12
265,MAG_570,MAG_570,Actinobacteriota,0.003111,M3
266,MAG_571,MAG_571,Proteobacteria,0.015758,M1
267,MAG_572,MAG_572,Acidobacteriota,0.068662,M38
268,MAG_575,MAG_575,Acidobacteriota,0.179792,M23
269,MAG_580,MAG_580,Planctomycetota,0.056474,M48
270,MAG_581,MAG_581,Thermoproteota,0.09746,M46
271,MAG_585,MAG_585,Myxococcota,0.135257,M1
272,MAG_587,MAG_587,Acidobacteriota,0.085991,M24
273,MAG_588,MAG_588,Armatimonadota,0.025823,M1
274,MAG_591,MAG_591,Acidobacteriota,0.061374,M51
