"Phylum","Label","Id","att1","att2","att3","att4","Class","Order","Family","Genus","Species","category","enrich","significant","color"
"Bacteroidota","MAG_494",231,"MAG_494","Bacteroidota",0.081218,"M13","Bacteroidia","Chitinophagales","Chitinophagaceae","JJ008","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_362",173,"MAG_362","Bacteroidota",0.09519,"M1","Bacteroidia","Chitinophagales","Saprospiraceae","JADKGY01","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_209",106,"MAG_209","Bacteroidota",0.536766,"M1","Bacteroidia","Cytophagales","Cyclobacteriaceae","PWU20","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_533",251,"MAG_533","Bacteroidota",0.001019,"M53","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_131",63,"MAG_131","Bacteroidota",0.002786,"M41","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudobacter","Unassign","RP sig","RP","Y","#B3CDE3"
"Bacteroidota","MAG_012",5,"MAG_012","Bacteroidota",0.310952,"M50","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Unassign","RP sig","RP","Y","#B3CDE3"
"Bacteroidota","MAG_116",58,"MAG_116","Bacteroidota",0.080822,"M47","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudobacter","Unassign","RP","RP","N","#B3CDE3"
"Bacteroidota","MAG_206",103,"MAG_206","Bacteroidota",0.08801,"M10","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter_B","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_110",55,"MAG_110","Bacteroidota",0.092469,"M40","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP","RP","N","#B3CDE3"
"Bacteroidota","MAG_564",262,"MAG_564","Bacteroidota",0.032034,"M53","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_453",217,"MAG_453","Bacteroidota",0.045397,"M10","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_210",107,"MAG_210","Bacteroidota",0.371176,"M10","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Unassign","RS sig","RS","Y","#B3CDE3"
"Bacteroidota","MAG_007",3,"MAG_007","Bacteroidota",0.083715,"M16","Bacteroidia","Chitinophagales","Chitinophagaceae","JACDAZ01","Unassign","RP sig","RP","Y","#B3CDE3"
"Bacteroidota","MAG_028",12,"MAG_028","Bacteroidota",0.063284,"M44","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP sig","RP","Y","#B3CDE3"
"Chloroflexota","MAG_449",216,"MAG_449","Chloroflexota",0.007233,"M1","Anaerolineae","Aggregatilineales","A4b","OLB15","Unassign","RS sig","RS","Y","#FDDAEC"
