,YL.RP.1488,YL.RP.342,YL.RP.348,YL.RP.977,YL.RP.995,YL.RP.9,YL.RP.Si051,YL.RP.Si062,YL.RP.Si079,YL.RP.Si080,YL.RP.Si081,YL.RP.Si083,YL.RP.Si090,YL.RP.Si214,YL.RP.Si248,YL.RP.Si249,YL.RP.Si268,YL.RS.1488,YL.RS.342,YL.RS.348,YL.RS.977,YL.RS.995,YL.RS.9,YL.RS.Si051,YL.RS.Si062,YL.RS.Si079,YL.RS.Si080,YL.RS.Si081,YL.RS.Si083,YL.RS.Si090,YL.RS.Si214,YL.RS.Si248,YL.RS.Si249,YL.RS.Si268
MAG_297,1448.886203,1404.991936,2119.143071,741.447557,1755.873895,2907.498843,244.559726,448.94969,605.309618,656.168379,1000.817773,1109.824947,1862.794152,631.731082,1830.892996,2241.630517,684.562249,5725.461583,7382.871336,7979.810728,4470.797815,4543.839539,5110.373751,5832.794179,7117.707515,8150.14811,6299.602575,4263.146158,7193.171407,6749.421098,3538.274839,7194.353678,6422.560471,6848.254503
MAG_298,3561.06819,4381.88671,2906.089006,3773.533697,9713.836935,7921.982669,9367.574657,14218.91994,14559.07993,13066.42119,11259.65485,7737.152105,20934.64785,7861.434244,9165.364009,5485.230801,6637.096567,1638.711637,1353.588474,802.734159,1824.625386,3010.544724,2390.409167,1528.804396,3244.872957,1035.51715,3543.738407,1611.127897,1033.351736,1022.644222,2558.182241,2301.271359,1086.157893,1676.626831
MAG_299,319.749,296.503062,543.229138,260.319843,379.359707,430.421781,147.935367,163.657262,194.736385,290.386804,287.515539,412.406207,434.469099,175.691862,594.664583,628.943417,228.146621,1129.071615,2059.87122,1610.785673,1834.96393,3279.175464,1631.5331,1618.731099,1510.228299,1765.501421,2454.523239,1701.063262,1580.375071,3122.531527,1108.460491,1751.285705,3340.048907,1310.811467
MAG_300,2018.027284,1589.457734,1778.544541,1242.119868,2372.768939,3056.46383,359.075396,473.573361,713.053254,748.363698,1056.694384,1430.521259,2311.906603,525.932932,1501.713499,2379.547273,730.784023,5147.85946,4875.347435,4002.759464,5302.297355,5039.376681,3396.899459,2348.176387,3523.137521,5837.04838,4745.827447,5287.085611,7958.359644,5408.327079,1991.767554,4366.684616,6671.783205,2545.571333
MAG_301,429.096174,313.083538,1343.732992,306.833329,254.152953,321.039773,206.098377,203.862156,198.948083,483.450789,565.938537,341.422356,694.275115,554.899063,581.679721,517.159579,407.199896,1225.662424,1055.27246,5082.153716,1788.440554,518.592359,733.922605,2988.630691,1670.385567,2065.089969,4840.502606,3544.152045,1319.996928,4259.197872,3318.705489,2162.558932,1329.087165,3208.607034
MAG_302,908.452459,1453.581056,1876.964073,968.542725,1405.130958,3024.924208,352.093095,642.817295,1018.039914,990.010658,1378.908993,1603.696596,1731.933721,350.841221,2363.196626,3735.118501,869.138923,3153.222618,4225.719526,5211.375152,3525.804221,4348.56349,2219.427298,3477.952831,5381.515154,7900.394327,5873.001902,3565.926227,6331.820255,4859.142261,1634.892426,5860.934135,5249.906015,4052.716659
MAG_303,1740.295284,1370.03981,1559.060007,1085.256941,2121.17407,2675.507445,320.0379,404.36475,629.477185,640.266037,900.038299,1183.845804,1998.96954,452.69614,1313.40044,2078.900543,639.446541,4411.665374,4190.104789,3491.333609,4735.610674,3372.35848,2966.557383,2008.259608,3050.375813,5060.990522,2636.440856,7144.753396,6796.779569,4600.877146,1723.029614,3828.168369,5614.681273,2243.25539
MAG_304,1615.19003,955.011906,1897.04896,1139.033227,1388.176371,1780.585231,558.21301,496.659711,701.451193,750.750927,851.35077,981.119425,1333.49445,937.999004,1626.966592,1177.946592,1001.154332,4783.289033,2779.389116,3752.622738,4588.800851,1703.39117,2760.203763,4611.608948,2743.073137,3963.395067,2285.356029,4326.336759,3707.182829,2656.835724,3580.464233,4966.692996,5287.206221,4107.787668
MAG_305,2800.831732,3066.788775,5808.751091,2383.464505,2125.220323,4310.752058,810.339569,1834.338812,2392.902083,2950.923254,3196.418572,3168.829712,4063.720289,1361.612311,7088.414621,6067.39037,2723.126639,5845.568491,9808.552826,21061.19182,12299.58882,4585.996257,6961.740495,8833.572547,8094.336608,25604.67787,7185.985331,19932.24668,16226.82893,15134.3089,4059.481408,18847.25951,12414.46734,7849.990359
MAG_306,7632.203912,9560.854821,23176.26562,5398.79902,5654.220698,9289.926648,2150.846363,2763.513348,1914.028549,5371.464397,3770.817792,3673.349131,2309.472666,2068.234546,3831.962879,3278.487258,1740.364986,2460.522354,3424.195613,4907.196269,1118.781621,1165.717781,4398.013476,2683.033521,1891.598079,1280.118182,2185.058408,5909.246761,1455.816712,1354.976643,3288.105662,1610.687496,2795.761947,2016.644251
