"phenotype","name","coefficient","p_value","p_adj"
"FNL","GH43_19",-5.13491103634944,0.0900096826654771,0.505190418892659
"FNL","GH43_2",-9.21155073374518,0.0692300682953078,0.505190418892659
"FNL","GH43_20",9.45055866265819,0.0350651970041034,0.451456437599278
"FNL","GH43_21",-8.44993852198324,0.624463473220384,0.85692548137342
"FNL","GH43_22",4.93209907489022,0.445247574867147,0.752365539049436
"FNL","GH43_23",6.96312134925697,0.129197415695158,0.51261200943101
"FNL","GH43_24",10.3450408728475,0.0604193574911187,0.505190418892659
"FNL","GH43_26",11.5238334472976,0.0926524512928961,0.505190418892659
"FNL","GH43_27",4.30682529282213,0.291693943506503,0.66156436964971
"FNL","GH43_28",-7.95223663528975,0.167640109533062,0.565553528265791
"FNL","GH43_29",-7.78576222789591,0.148339665777901,0.535433479267379
"FNL","GH43_3",14.3156983266881,0.036924011074797,0.451456437599278
"FNL","GH43_30",4.2246815701988,0.30659064664723,0.66156436964971
"FNL","GH43_31",-6.08473574279003,0.13279989276411,0.51903469538339
"FNL","GH43_32",9.43696826108241,0.158829021576322,0.553200401680793
"FNL","GH43_33",-6.02744192526806,0.256173172411643,0.655108924846868
"FNL","GH43_34",9.59124113955992,0.148755654371288,0.535433479267379
"FNL","GH43_35",4.66055169284996,0.190098140836488,0.582815856935819
"FNL","GH43_36",-2.38788442081334,0.645113988589456,0.85692548137342
"FNL","GH43_37",-3.27673456736148,0.245965704163004,0.642522655772744
"FNL","GH43_4",4.65679441968847,0.291279110678169,0.66156436964971
"FNL","GH43_5",10.4680730216958,0.198004558480709,0.596343140836017
"FNL","GH43_7",-3.33446721502563,0.515122808044666,0.791011896167247
"FNL","GH43_8",-6.3320309739186,0.218748650109263,0.615997812993604
"FNL","GH43_9",-9.27679999588817,0.142791140103718,0.533905767441325
"FNL","GH44",-5.54842549734754,0.115887842137458,0.512371944803411
"FNL","GH45",-4.31670001010335,0.128878620502383,0.51261200943101
"FNL","GH46",3.87094839083555,0.574409499909897,0.830784361451602
"FNL","GH47",-4.53021651262227,0.319964540979873,0.66156436964971
"FNL","GH48",-3.24919749605995,0.634051289002952,0.85692548137342
"FNL","GH49",5.99356707864598,0.0081815440242393,0.318730045575416
"FNL","GH5",0.682371646845686,0.924282937985651,0.983180798253252
"FNL","GH50",1.25378471669143,0.555759085882093,0.818389065729211
"FNL","GH51",5.48933789133663,0.695106442138556,0.894207282349098
"FNL","GH52",4.77119838058561,0.192758079884006,0.583977141423735
"FNL","GH53",0.445944256562578,0.951314358042512,0.988449198446836
"FNL","GH54",-7.88223322698111,0.134800806989323,0.522863736201011
"FNL","GH55",-1.61652160620043,0.843136360625713,0.950437154705629
"FNL","GH57",-8.22909274941774,0.165054592510448,0.563386342435662
"FNL","GH59",4.7012997362206,0.327568731597866,0.66156436964971
"FNL","GH5_1",0.225877730237548,0.9740967410845,0.988719018112141
"FNL","GH5_10",5.59203446441692,0.639294813620097,0.85692548137342
"FNL","GH5_12",2.7623858312848,0.449276852482522,0.754195896626398
"FNL","GH5_13",-7.0270102880908,0.327284627696717,0.66156436964971
"FNL","GH5_17",-2.08985507249304,0.656952159710784,0.86106905546786
"FNL","GH5_18",-2.74871608491072,0.63291336427598,0.85692548137342
"FNL","GH5_19",-1.64118030165654,0.729472397956602,0.915416342533775
"FNL","GH5_2",-9.16317337142244,0.104857340886469,0.505190418892659
"FNL","GH5_21",8.21859306590892,0.345214346877723,0.66439804509407
"FNL","GH5_22",6.50130216328214,0.21307135067613,0.615997812993604
