KO,L1,level1,L2,level2,L3,pathway,Description
K00244,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00244,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00244,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],succinate dehydrogenase flavoprotein subunit  [EC:1.3.5.1] 
K00245,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00245,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00245,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00245,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00245,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00245,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],succinate dehydrogenase iron-sulfur subunit  [EC:1.3.5.1] 
K00246,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],succinate dehydrogenase subunit C 
K00246,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],succinate dehydrogenase subunit C 
K00246,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase subunit C 
K00246,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase subunit C 
K00246,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase subunit C 
K00246,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase subunit C 
K00247,l1_09100,Metabolism,l1_09102,Energy metabolism,map00190,Oxidative phosphorylation [PATH:ko00190],succinate dehydrogenase subunit D 
K00247,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],succinate dehydrogenase subunit D 
K00247,l1_09100,Metabolism,l1_09102,Energy metabolism,map00720,Carbon fixation pathways in prokaryotes [PATH:ko00720],succinate dehydrogenase subunit D 
K00247,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],succinate dehydrogenase subunit D 
K00247,l1_09130,Environmental Information Processing,l1_09132,Signal transduction,map02020,Two-component system [PATH:ko02020],succinate dehydrogenase subunit D 
K00247,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],succinate dehydrogenase subunit D 
K00248,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00640,Propanoate metabolism [PATH:ko00640],butyryl-CoA dehydrogenase  [EC:1.3.8.1] 
