Id,Label,att1,att2,att3,att4
82,MAG_180,MAG_180,Proteobacteria,1.233064,M10
83,MAG_183,MAG_183,Firmicutes,0.092993,M5
84,MAG_185,MAG_185,Proteobacteria,0.295847,M30
85,MAG_186,MAG_186,Proteobacteria,0.906951,M10
86,MAG_187,MAG_187,Proteobacteria,0.388753,M31
87,MAG_189,MAG_189,Patescibacteria,0.013325,M25
88,MAG_191,MAG_191,Proteobacteria,0.573957,M36
89,MAG_192,MAG_192,Acidobacteriota,0.115751,M2
90,MAG_193,MAG_193,Actinobacteriota,0.031401,M3
91,MAG_194,MAG_194,Proteobacteria,0.36703,M13
92,MAG_195,MAG_195,Bacteroidota,0.245555,M1
93,MAG_196,MAG_196,Verrucomicrobiota,0.123134,M9
94,MAG_197,MAG_197,Proteobacteria,0.182807,M1
95,MAG_199,MAG_199,Actinobacteriota,0.047093,M3
96,MAG_200,MAG_200,Chloroflexota,0.532967,M3
97,MAG_201,MAG_201,Methylomirabilota,0.202897,M2
98,MAG_205,MAG_205,Chloroflexota,0.293508,M1
99,MAG_207,MAG_207,Actinobacteriota,0.035423,M3
100,MAG_208,MAG_208,Nitrospirota,0.279962,M2
101,MAG_210,MAG_210,Bacteroidota,0.112514,M2
102,MAG_211,MAG_211,Bacteroidota,0.055525,M2
103,MAG_212,MAG_212,Chloroflexota,0.126601,M2
104,MAG_213,MAG_213,Bacteroidota,0.037288,M1
105,MAG_214,MAG_214,Bacteroidota,0.062907,M4
106,MAG_215,MAG_215,Firmicutes,0.813144,M5
107,MAG_216,MAG_216,Acidobacteriota,0.039419,M2
108,MAG_217,MAG_217,Gemmatimonadota,0.019513,M1
109,MAG_219,MAG_219,Actinobacteriota,0.071172,M1
110,MAG_221,MAG_221,Chloroflexota,0.054598,M1
111,MAG_222,MAG_222,Actinobacteriota,0.038951,M2
112,MAG_226,MAG_226,Acidobacteriota,0.036698,M1
113,MAG_227,MAG_227,Planctomycetota,0.016562,M1
114,MAG_228,MAG_228,Planctomycetota,0.045199,M24
115,MAG_229,MAG_229,Desulfobacterota_B,0.025729,M2
116,MAG_230,MAG_230,Chloroflexota,0.025595,M3
117,MAG_231,MAG_231,Acidobacteriota,0.012097,M2
118,MAG_233,MAG_233,Acidobacteriota,0.04459,M2
119,MAG_236,MAG_236,Tectomicrobia,0.012259,M20
120,MAG_237,MAG_237,Bacteroidota,0.04358,M2
121,MAG_238,MAG_238,Chloroflexota,0.106574,M2
122,MAG_240,MAG_240,Chloroflexota,0.033027,M3
123,MAG_241,MAG_241,Chloroflexota,0.049665,M3
124,MAG_242,MAG_242,Actinobacteriota,0.058418,M2
125,MAG_243,MAG_243,Proteobacteria,0.19915,M26
126,MAG_245,MAG_245,Proteobacteria,0.047108,M2
127,MAG_246,MAG_246,Verrucomicrobiota,0.017336,M2
128,MAG_247,MAG_247,Actinobacteriota,0.097138,M3
129,MAG_248,MAG_248,Bacteroidota,0.067104,M4
130,MAG_249,MAG_249,Proteobacteria,0.079819,M2
131,MAG_250,MAG_250,Acidobacteriota,0.077978,M1
132,MAG_251,MAG_251,Proteobacteria,0.032209,M6
133,MAG_253,MAG_253,Chloroflexota,0.021079,M1
134,MAG_254,MAG_254,Bacteroidota,0.085628,M2
135,MAG_255,MAG_255,Proteobacteria,0.018333,M39
136,MAG_256,MAG_256,Armatimonadota,0.019444,M2
137,MAG_257,MAG_257,Actinobacteriota,0.054157,M3
138,MAG_259,MAG_259,Nitrospirota,0.019854,M2
139,MAG_260,MAG_260,Actinobacteriota,0.035614,M1
140,MAG_264,MAG_264,Acidobacteriota,0.266731,M15
141,MAG_268,MAG_268,Chloroflexota,0.031207,M3
142,MAG_269,MAG_269,Planctomycetota,0.032938,M40
143,MAG_272,MAG_272,Proteobacteria,0.483102,M13
144,MAG_273,MAG_273,Firmicutes,0.338837,M5
145,MAG_274,MAG_274,Firmicutes,0.096609,M5
146,MAG_275,MAG_275,Chloroflexota,0.38071,M3
147,MAG_277,MAG_277,Actinobacteriota,0.039963,M3
148,MAG_278,MAG_278,Acidobacteriota,0.241179,M2
149,MAG_279,MAG_279,Firmicutes,0.20626,M5
150,MAG_280,MAG_280,Nitrospirota,0.307961,M2
151,MAG_281,MAG_281,Proteobacteria,0.171849,M29
152,MAG_282,MAG_282,Acidobacteriota,0.082902,M1
153,MAG_283,MAG_283,Acidobacteriota,0.097408,M2
154,MAG_284,MAG_284,Proteobacteria,0.112484,M14
155,MAG_285,MAG_285,Thermoproteota,0.080742,M21
156,MAG_286,MAG_286,Actinobacteriota,0.032153,M3
157,MAG_287,MAG_287,Gemmatimonadota,0.042002,M3
158,MAG_288,MAG_288,Chloroflexota,0.105732,M3
159,MAG_289,MAG_289,Thermoproteota,0.049,M18
160,MAG_290,MAG_290,Acidobacteriota,0.086149,M2
161,MAG_291,MAG_291,Planctomycetota,0.096978,M1
162,MAG_292,MAG_292,Firmicutes,0.156623,M5
163,MAG_293,MAG_293,Actinobacteriota,0.046538,M3
164,MAG_294,MAG_294,Firmicutes,0.299782,M5
165,MAG_295,MAG_295,Actinobacteriota,0.048994,M3
166,MAG_296,MAG_296,Gemmatimonadota,0.050731,M2
167,MAG_297,MAG_297,Gemmatimonadota,0.127618,M2
168,MAG_298,MAG_298,Proteobacteria,0.897359,M10
169,MAG_299,MAG_299,Acidobacteriota,0.034048,M1
170,MAG_300,MAG_300,Acidobacteriota,0.142874,M2
171,MAG_301,MAG_301,Proteobacteria,0.045429,M6
172,MAG_302,MAG_302,Gemmatimonadota,0.145138,M1
173,MAG_303,MAG_303,Acidobacteriota,0.124193,M2
174,MAG_304,MAG_304,Actinobacteriota,0.112895,M3
175,MAG_305,MAG_305,Acidobacteriota,0.330317,M1
176,MAG_306,MAG_306,Proteobacteria,0.550499,M13
177,MAG_307,MAG_307,Acidobacteriota,0.113024,M1
178,MAG_308,MAG_308,Desulfobacterota_B,0.228276,M2
179,MAG_309,MAG_309,Planctomycetota,0.108689,M1
180,MAG_310,MAG_310,Acidobacteriota,0.131091,M2
181,MAG_311,MAG_311,Actinobacteriota,0.091675,M3
182,MAG_312,MAG_312,Acidobacteriota,0.139381,M1
183,MAG_313,MAG_313,Thermoproteota,0.084337,M21
184,MAG_314,MAG_314,Chloroflexota,0.062642,M3
185,MAG_315,MAG_315,Acidobacteriota,0.108188,M2
186,MAG_316,MAG_316,Actinobacteriota,0.034695,M3
187,MAG_317,MAG_317,Verrucomicrobiota,0.104707,M9
188,MAG_318,MAG_318,Firmicutes,1.517913,M5
189,MAG_319,MAG_319,Actinobacteriota,0.191067,M3
190,MAG_320,MAG_320,Proteobacteria,0.027981,M6
191,MAG_321,MAG_321,Actinobacteriota,0.023474,M3
192,MAG_322,MAG_322,Thermoproteota,0.035576,M5
193,MAG_323,MAG_323,Proteobacteria,0.055212,M1
194,MAG_324,MAG_324,Actinobacteriota,0.030612,M3
195,MAG_327,MAG_327,Armatimonadota,0.069062,M3
196,MAG_328,MAG_328,Methylomirabilota,0.053313,M2
197,MAG_329,MAG_329,Verrucomicrobiota,0.013015,M1
198,MAG_330,MAG_330,Desulfobacterota_B,0.015986,M1
199,MAG_332,MAG_332,Gemmatimonadota,0.044735,M2
200,MAG_334,MAG_334,Methylomirabilota,0.080723,M2
201,MAG_335,MAG_335,Proteobacteria,0.02739,M7
202,MAG_336,MAG_336,Actinobacteriota,0.053756,M3
203,MAG_337,MAG_337,UBA10199,0.006983,M4
204,MAG_338,MAG_338,Chloroflexota,0.00478,M2
205,MAG_339,MAG_339,Planctomycetota,0.042062,M1
206,MAG_340,MAG_340,Actinobacteriota,0.016757,M3
207,MAG_341,MAG_341,Acidobacteriota,0.018305,M1
208,MAG_342,MAG_342,Chloroflexota,0.025813,M3
209,MAG_343,MAG_343,Chloroflexota,0.014775,M4
210,MAG_344,MAG_344,Acidobacteriota,0.073477,M2
211,MAG_346,MAG_346,Acidobacteriota,0.030993,M2
212,MAG_347,MAG_347,Gemmatimonadota,0.048118,M2
213,MAG_348,MAG_348,Proteobacteria,0.027551,M20
214,MAG_349,MAG_349,Proteobacteria,0.321648,M13
215,MAG_350,MAG_350,Thermoproteota,0.020016,M18
216,MAG_351,MAG_351,Myxococcota,0.018553,M6
217,MAG_352,MAG_352,Actinobacteriota,0.010053,M4
218,MAG_353,MAG_353,Gemmatimonadota,0.019392,M3
219,MAG_354,MAG_354,Gemmatimonadota,0.014393,M1
220,MAG_355,MAG_355,Gemmatimonadota,0.008334,M1
221,MAG_357,MAG_357,Acidobacteriota,0.009436,M3
222,MAG_358,MAG_358,Actinobacteriota,0.028133,M3
223,MAG_359,MAG_359,Gemmatimonadota,0.037741,M2
224,MAG_360,MAG_360,Verrucomicrobiota,0.06723,M1
225,MAG_361,MAG_361,Methylomirabilota,0.103663,M1
226,MAG_362,MAG_362,Bacteroidota,0.038518,M4
227,MAG_363,MAG_363,Acidobacteriota,0.087078,M2
228,MAG_364,MAG_364,Proteobacteria,0.111463,M1
229,MAG_365,MAG_365,Acidobacteriota,0.032841,M4
230,MAG_366,MAG_366,Planctomycetota,0.012139,M4
231,MAG_367,MAG_367,Actinobacteriota,0.138502,M3
232,MAG_368,MAG_368,Actinobacteriota,0.175782,M3
233,MAG_369,MAG_369,Chloroflexota,0.074674,M3
234,MAG_370,MAG_370,Acidobacteriota,0.302052,M2
235,MAG_371,MAG_371,Gemmatimonadota,0.026706,M3
236,MAG_372,MAG_372,Planctomycetota,0.201956,M2
237,MAG_373,MAG_373,Acidobacteriota,0.090503,M2
238,MAG_374,MAG_374,Acidobacteriota,0.191737,M2
239,MAG_376,MAG_376,Actinobacteriota,0.055695,M3
240,MAG_377,MAG_377,Actinobacteriota,0.059598,M3
241,MAG_378,MAG_378,Acidobacteriota,0.099559,M1
242,MAG_379,MAG_379,Chloroflexota,0.165792,M3
243,MAG_381,MAG_381,Actinobacteriota,0.009345,M3
244,MAG_382,MAG_382,Actinobacteriota,0.020097,M1
245,MAG_383,MAG_383,Myxococcota_A,0.049014,M1
246,MAG_384,MAG_384,Gemmatimonadota,0.0327,M2
247,MAG_385,MAG_385,Proteobacteria,0.156604,M1
248,MAG_386,MAG_386,Myxococcota_A,0.030593,M1
249,MAG_387,MAG_387,Actinobacteriota,0.063239,M1
250,MAG_388,MAG_388,Acidobacteriota,0.078054,M3
251,MAG_390,MAG_390,Planctomycetota,0.046204,M1
252,MAG_391,MAG_391,Verrucomicrobiota,0.00734,M4
253,MAG_393,MAG_393,Actinobacteriota,0.021757,M3
254,MAG_394,MAG_394,Planctomycetota,0.077079,M2
255,MAG_395,MAG_395,Planctomycetota,0.005182,M6
256,MAG_396,MAG_396,Acidobacteriota,0.0474,M1
257,MAG_397,MAG_397,Proteobacteria,0.033109,M1
258,MAG_398,MAG_398,Chloroflexota,0.012094,M3
259,MAG_399,MAG_399,Planctomycetota,0.024674,M3
260,MAG_400,MAG_400,Actinobacteriota,0.018619,M3
261,MAG_401,MAG_401,Actinobacteriota,0.010649,M3
262,MAG_402,MAG_402,Acidobacteriota,0.00819,M1
263,MAG_403,MAG_403,Methylomirabilota,0.017852,M1
264,MAG_404,MAG_404,Verrucomicrobiota,0.021754,M6
265,MAG_405,MAG_405,Acidobacteriota,0.019562,M2
266,MAG_407,MAG_407,Proteobacteria,0.012947,M19
267,MAG_409,MAG_409,Actinobacteriota,0.002982,M3
268,MAG_410,MAG_410,Krumholzibacteriota,0.007947,M4
269,MAG_412,MAG_412,Gemmatimonadota,0.021378,M2
270,MAG_413,MAG_413,Acidobacteriota,0.03024,M4
271,MAG_414,MAG_414,Bacteroidota,0.012564,M4
272,MAG_416,MAG_416,Verrucomicrobiota,0.004957,M1
273,MAG_417,MAG_417,Nitrospirota,0.003302,M2
274,MAG_418,MAG_418,Proteobacteria,0.073081,M2
275,MAG_421,MAG_421,Gemmatimonadota,0.03501,M2
276,MAG_424,MAG_424,Proteobacteria,0.095848,M2
277,MAG_425,MAG_425,Proteobacteria,0.028597,M15
278,MAG_427,MAG_427,Actinobacteriota,0.008606,M3
279,MAG_428,MAG_428,Actinobacteriota,0.039759,M5
280,MAG_429,MAG_429,Methylomirabilota,0.157866,M2
281,MAG_431,MAG_431,Chloroflexota,0.008795,M3
282,MAG_434,MAG_434,Actinobacteriota,0.021063,M3
283,MAG_435,MAG_435,Chloroflexota,0.000452,M6
284,MAG_436,MAG_436,Actinobacteriota,0.004939,M1
285,MAG_437,MAG_437,Gemmatimonadota,0.005352,M1
286,MAG_438,MAG_438,Bacteroidota,0.009127,M4
287,MAG_440,MAG_440,Verrucomicrobiota,0.005254,M3
288,MAG_441,MAG_441,Bacteroidota,0.015585,M1
289,MAG_444,MAG_444,Gemmatimonadota,0.014001,M2
290,MAG_445,MAG_445,Actinobacteriota,0.010487,M3
291,MAG_447,MAG_447,Acidobacteriota,0.002367,M2
292,MAG_448,MAG_448,Acidobacteriota,0.01291,M2
293,MAG_450,MAG_450,Proteobacteria,0.021478,M1
294,MAG_453,MAG_453,Bacteroidota,0.009102,M2
295,MAG_455,MAG_455,Actinobacteriota,0.045299,M3
296,MAG_456,MAG_456,Bacteroidota,0.003316,M1
297,MAG_457,MAG_457,Acidobacteriota,0.007959,M1
298,MAG_458,MAG_458,Proteobacteria,0.064237,M19
299,MAG_459,MAG_459,Bacteroidota,0.081844,M12
300,MAG_461,MAG_461,Gemmatimonadota,0.045866,M2
301,MAG_462,MAG_462,Myxococcota,0.075417,M11
302,MAG_463,MAG_463,Gemmatimonadota,0.011899,M2
303,MAG_464,MAG_464,Chloroflexota,0.023453,M1
304,MAG_465,MAG_465,Eisenbacteria,0.002354,M1
305,MAG_466,MAG_466,Gemmatimonadota,0.019856,M2
306,MAG_467,MAG_467,Acidobacteriota,0.069928,M1
307,MAG_468,MAG_468,Gemmatimonadota,0.056038,M3
308,MAG_469,MAG_469,Actinobacteriota,0.011122,M3
309,MAG_470,MAG_470,Gemmatimonadota,0.038879,M2
310,MAG_471,MAG_471,Proteobacteria,0.003863,M1
311,MAG_472,MAG_472,Chloroflexota,0.029844,M3
312,MAG_473,MAG_473,Gemmatimonadota,0.022663,M2
313,MAG_474,MAG_474,Tectomicrobia,0.008634,M20
314,MAG_475,MAG_475,Proteobacteria,0.03371,M15
315,MAG_476,MAG_476,Actinobacteriota,0.01237,M3
316,MAG_478,MAG_478,Acidobacteriota,0.008491,M1
317,MAG_479,MAG_479,Acidobacteriota,0.023975,M4
318,MAG_480,MAG_480,Gemmatimonadota,0.017048,M1
319,MAG_482,MAG_482,Chloroflexota,0.011375,M1
320,MAG_483,MAG_483,Myxococcota,0.03105,M1
321,MAG_485,MAG_485,Proteobacteria,0.06815,M15
322,MAG_486,MAG_486,Planctomycetota,0.011966,M1
323,MAG_487,MAG_487,Gemmatimonadota,0.030673,M3
324,MAG_488,MAG_488,Planctomycetota,0.015562,M1
325,MAG_489,MAG_489,Gemmatimonadota,0.029423,M3
326,MAG_490,MAG_490,Actinobacteriota,0.00378,M4
327,MAG_492,MAG_492,Proteobacteria,0.01119,M32
328,MAG_493,MAG_493,Acidobacteriota,0.012756,M2
329,MAG_494,MAG_494,Bacteroidota,0.027116,M2
330,MAG_495,MAG_495,Bacteroidota,0.001685,M2
331,MAG_496,MAG_496,Myxococcota,0.060237,M27
332,MAG_497,MAG_497,Bdellovibrionota,0.00051,M3
333,MAG_498,MAG_498,Methylomirabilota,0.092787,M2
334,MAG_499,MAG_499,Planctomycetota,0.013489,M1
335,MAG_500,MAG_500,Verrucomicrobiota,0.008292,M2
336,MAG_501,MAG_501,Desulfobacterota_B,0.002011,M1
337,MAG_502,MAG_502,Bacteroidota,0.000595,M2
338,MAG_503,MAG_503,Desulfobacterota_B,0.002465,M1
339,MAG_505,MAG_505,Proteobacteria,0.074723,M4
340,MAG_507,MAG_507,Eisenbacteria,0.009845,M1
341,MAG_508,MAG_508,Acidobacteriota,0.008448,M1
342,MAG_509,MAG_509,Gemmatimonadota,0.054288,M1
343,MAG_510,MAG_510,Acidobacteriota,0.011457,M1
344,MAG_513,MAG_513,Acidobacteriota,0.012106,M4
345,MAG_514,MAG_514,Proteobacteria,0.052322,M1
346,MAG_515,MAG_515,Actinobacteriota,0.006329,M24
347,MAG_516,MAG_516,Acidobacteriota,0.011719,M4
348,MAG_517,MAG_517,Eisenbacteria,0.009198,M1
349,MAG_518,MAG_518,Proteobacteria,0.023072,M1
350,MAG_519,MAG_519,Bacteroidota,0.002993,M4
351,MAG_520,MAG_520,Planctomycetota,0.008105,M1
352,MAG_522,MAG_522,Proteobacteria,0.165346,M1
353,MAG_524,MAG_524,Bacteroidota,0.131087,M4
354,MAG_525,MAG_525,Proteobacteria,0.142498,M26
355,MAG_526,MAG_526,Goldbacteria,0.000904,M1
356,MAG_528,MAG_528,Actinobacteriota,0.006896,M3
357,MAG_529,MAG_529,Planctomycetota,0.010259,M2
358,MAG_530,MAG_530,Bacteroidota,0.000259,M4
359,MAG_531,MAG_531,Myxococcota_A,0.014503,M1
360,MAG_532,MAG_532,Verrucomicrobiota,0.00267,M4
361,MAG_533,MAG_533,Bacteroidota,0.000176,M6
362,MAG_534,MAG_534,Bacteroidota,0.001701,M4
363,MAG_535,MAG_535,Gemmatimonadota,0.008882,M1
364,MAG_536,MAG_536,Chloroflexota,0.028982,M3
365,MAG_537,MAG_537,Planctomycetota,0.010018,M1
366,MAG_539,MAG_539,Actinobacteriota,0.004135,M4
367,MAG_540,MAG_540,Bacteroidota,0.000806,M6
368,MAG_541,MAG_541,Planctomycetota,0.03674,M3
369,MAG_542,MAG_542,Planctomycetota,0.043012,M2
370,MAG_543,MAG_543,Verrucomicrobiota,0.127737,M1
371,MAG_545,MAG_545,Planctomycetota,0.005551,M1
372,MAG_546,MAG_546,Planctomycetota,0.015847,M1
373,MAG_547,MAG_547,Acidobacteriota,0.011685,M1
374,MAG_548,MAG_548,Actinobacteriota,0.050434,M3
375,MAG_549,MAG_549,Acidobacteriota,0.005735,M1
376,MAG_550,MAG_550,Acidobacteriota,0.110194,M2
377,MAG_551,MAG_551,Gemmatimonadota,0.026585,M1
378,MAG_552,MAG_552,Actinobacteriota,0.032707,M3
379,MAG_553,MAG_553,Actinobacteriota,0.014936,M3
380,MAG_554,MAG_554,Proteobacteria,0.005754,M40
381,MAG_556,MAG_556,Desulfobacterota_B,0.006674,M2
382,MAG_557,MAG_557,Acidobacteriota,0.020089,M1
383,MAG_558,MAG_558,Proteobacteria,0.025701,M1
384,MAG_559,MAG_559,Proteobacteria,0.005893,M19
385,MAG_560,MAG_560,Planctomycetota,0.024884,M1
386,MAG_561,MAG_561,Desulfobacterota_B,0.005239,M1
387,MAG_562,MAG_562,Gemmatimonadota,0.037112,M3
388,MAG_563,MAG_563,Myxococcota,0.04873,M1
389,MAG_565,MAG_565,Proteobacteria,0.043395,M1
390,MAG_566,MAG_566,Desulfobacterota_B,0.009033,M4
391,MAG_567,MAG_567,Desulfobacterota_B,0.002305,M2
392,MAG_568,MAG_568,Gemmatimonadota,0.010669,M1
393,MAG_570,MAG_570,Actinobacteriota,0.001543,M3
394,MAG_571,MAG_571,Proteobacteria,0.009556,M1
395,MAG_572,MAG_572,Acidobacteriota,0.021159,M1
396,MAG_575,MAG_575,Acidobacteriota,0.034909,M2
397,MAG_576,MAG_576,Planctomycetota,0.017774,M4
398,MAG_577,MAG_577,Proteobacteria,0.03529,M1
399,MAG_578,MAG_578,Acidobacteriota,0.040505,M1
400,MAG_579,MAG_579,Acidobacteriota,0.024474,M1
401,MAG_581,MAG_581,Thermoproteota,0.019038,M18
402,MAG_582,MAG_582,Planctomycetota,0.002642,M1
403,MAG_583,MAG_583,Gemmatimonadota,0.008173,M3
404,MAG_584,MAG_584,Proteobacteria,0.037225,M1
405,MAG_585,MAG_585,Myxococcota,0.030233,M1
406,MAG_586,MAG_586,Acidobacteriota,0.023945,M1
407,MAG_587,MAG_587,Acidobacteriota,0.017155,M2
408,MAG_588,MAG_588,Armatimonadota,0.003369,M4
409,MAG_590,MAG_590,Acidobacteriota,0.085797,M2
410,MAG_591,MAG_591,Acidobacteriota,0.014813,M1
411,MAG_592,MAG_592,Myxococcota,0.031024,M1
412,MAG_593,MAG_593,Proteobacteria,0.020257,M32
413,MAG_594,MAG_594,RBG-13-61-14,0.002366,M1
